,platformId,gameId,champion,queue,season,timestamp,role,lane,status.status_code,status.message,matches,startIndex,endIndex,totalGames
9990,NA1,-2147483648,75.0,420.0,13.0,1571000756961.0,SOLO,TOP,,,,,,
9991,NA1,-2147483648,75.0,420.0,13.0,1570686560477.0,SOLO,TOP,,,,,,
9992,NA1,-2147483648,75.0,420.0,13.0,1570403309795.0,SOLO,TOP,,,,,,
9993,NA1,-2147483648,75.0,420.0,13.0,1570401103551.0,DUO_SUPPORT,NONE,,,,,,
9994,NA1,-2147483648,75.0,420.0,13.0,1558838271167.0,SOLO,TOP,,,,,,
9995,NA1,-2147483648,75.0,420.0,13.0,1550544950921.0,SOLO,TOP,,,,,,
9996,NA1,-2147483648,75.0,420.0,12.0,1547772770141.0,SOLO,TOP,,,,,,
9997,NA1,-2147483648,75.0,420.0,12.0,1547699491741.0,SOLO,TOP,,,,,,
9998,NA1,-2147483648,75.0,420.0,12.0,1547600566746.0,SOLO,TOP,,,,,,
9999,NA1,-2147483648,75.0,420.0,13.0,1573029241825.0,DUO_SUPPORT,NONE,,,,,,
10000,NA1,-2147483648,75.0,420.0,13.0,1573028660289.0,DUO,NONE,,,,,,
10001,NA1,-2147483648,75.0,420.0,13.0,1572938959515.0,SOLO,TOP,,,,,,
10002,NA1,-2147483648,75.0,420.0,13.0,1557988869629.0,DUO,MID,,,,,,
10003,NA1,-2147483648,75.0,420.0,13.0,1573937203626.0,SOLO,TOP,,,,,,
10004,NA1,-2147483648,75.0,420.0,13.0,1567904041402.0,SOLO,TOP,,,,,,
10005,NA1,-2147483648,75.0,420.0,13.0,1557796722171.0,SOLO,TOP,,,,,,
10006,NA1,-2147483648,75.0,420.0,13.0,1557113423397.0,SOLO,TOP,,,,,,
10007,NA1,-2147483648,75.0,420.0,13.0,1557111247714.0,SOLO,TOP,,,,,,
10008,NA1,-2147483648,75.0,420.0,13.0,1595572745282.0,SOLO,TOP,,,,,,
10009,NA1,-2147483648,75.0,420.0,13.0,1591852433475.0,SOLO,TOP,,,,,,
10010,NA1,-2147483648,75.0,420.0,13.0,1584993817564.0,SOLO,TOP,,,,,,
10011,NA1,-2147483648,75.0,420.0,13.0,1584942989573.0,SOLO,MID,,,,,,
10012,NA1,-2147483648,75.0,420.0,13.0,1584940501015.0,SOLO,TOP,,,,,,
10013,NA1,-2147483648,75.0,420.0,13.0,1583279885998.0,SOLO,TOP,,,,,,
10014,NA1,-2147483648,75.0,420.0,13.0,1583273880655.0,SOLO,TOP,,,,,,
10015,NA1,-2147483648,75.0,420.0,13.0,1582596364425.0,DUO_SUPPORT,NONE,,,,,,
10016,NA1,-2147483648,75.0,420.0,13.0,1582261582547.0,SOLO,TOP,,,,,,
10017,NA1,-2147483648,75.0,420.0,13.0,1572998540497.0,SOLO,TOP,,,,,,
10018,NA1,-2147483648,75.0,420.0,13.0,1572932319563.0,DUO,TOP,,,,,,
10019,NA1,-2147483648,75.0,420.0,13.0,1572925764314.0,SOLO,TOP,,,,,,
10020,NA1,-2147483648,75.0,420.0,13.0,1572545662873.0,SOLO,TOP,,,,,,
10021,NA1,-2147483648,75.0,420.0,13.0,1572048638265.0,SOLO,TOP,,,,,,
