,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
2659,38c72f0c-207b-4608-8426-17e6453d12ff,RANKED_SOLO_5x5,SILVER,II,mSA_bjTIyxC6V2aa6NWqTf38xNY0KBmBOpMhy9V7iI6GXJEC,Sehgi,92.0,135.0,121.0,False,False,False,True
2660,88b2257c-d8da-4791-8131-20b9ff50b87b,RANKED_SOLO_5x5,SILVER,II,MrfSydIYft4fPqlc54K7LcMFTU8P8nFdqwmp8GrPaOKPN0EW,Tai Zi Ye,5.0,77.0,75.0,False,False,False,False
2661,7b48e111-ce07-4135-9dee-b9295087b0c5,RANKED_SOLO_5x5,SILVER,II,J4XkOxSYxT66mX-fz5YajWeVX_hZvh8cmkc2A9M7spdBuqg5,do baron,100.0,7.0,12.0,False,False,False,False
2662,a348aaed-cc65-46da-81af-6554383e17fe,RANKED_SOLO_5x5,SILVER,II,BCTtJ5hYGLlH0CAKrm_7h9XtZTKLdCzjHPEHiG4bXtPV9OwY,ImperfectRobo,68.0,60.0,60.0,False,False,False,False
2663,6d2a4d31-2b0d-4ba6-b888-2f302bf576ee,RANKED_SOLO_5x5,SILVER,II,ngxj89ONy-1NdzMLzkojPwuVOYNcWG3yCFt7sk3rgDFfI_gD,Yássssuo,6.0,15.0,15.0,False,False,False,False
2664,859571d6-671d-420c-9225-9f7e788550b8,RANKED_SOLO_5x5,SILVER,II,wBNJys5hP0SmU0UZVf5fU6V-HB_krx3qIdk6ESiLk05HIS9s,NoQuestion1109,100.0,46.0,34.0,False,False,False,False
2665,296849ad-7f88-4ee4-a960-2f5eb903553f,RANKED_SOLO_5x5,SILVER,II,jPdq7jy46oOJelQTfRoupTxcVTuoiMgr58F99nXAeGK2cYTf,FlyingSquid46,0.0,158.0,190.0,False,False,False,False
2666,e93fbead-ebf5-4816-8d9e-de3ea1d5ba06,RANKED_SOLO_5x5,SILVER,II,bqyc1X1iKdVsttdCl-V30zftzPphXA-DsEvmIYV0YF9Pq7NA,an00bis,0.0,281.0,267.0,False,False,False,False
2667,fa61cccc-e3a7-47d9-b852-936e0836a658,RANKED_SOLO_5x5,SILVER,II,n2kQvwcy-AeYTqhQ_3hh949chawFw6L2rhruoBQ5RUnbY0Kp,yuh21,40.0,153.0,161.0,False,False,False,False
2668,e69e59ed-db5e-49b5-9d56-fa64eeea46fe,RANKED_SOLO_5x5,SILVER,II,9rzMnZvyjU5sg6IKDhvST8kP5GzUhUFeTHVv5kvAuiazDq4L,YugiohPimp Daddy,71.0,44.0,21.0,False,False,False,True
